"","x"
"2010","11"
"2011","8"
"2012","26"
"2013","14"
"2014","29"
"2015","42"
"2016","26"
"2017","30"
"2018","2"
"2019","33"
"2020","27"
"2021","42"
"2022","43"
"2023","36"
"2024","1"
"2025","36"
"2026","8"
"2027","2"
"2028","33"
"2029","36"
"2030","40"
"2031","36"
"2032","3"
"2033","25"
"2034","2"
"2035","1"
"2036","40"
"2037","1"
"2038","9"
"2039","33"
"2040","36"
"2041","12"
"2042","10"
"2043","42"
"2044","12"
"2045","36"
"2046","5"
"2047","12"
"2048","2"
"2049","28"
"2050","11"
"2051","26"
"2052","12"
"2053","2"
"2054","2"
"2055","28"
"2056","2"
"2057","2"
"2058","44"
"2059","45"
"2060","11"
"2061","40"
"2062","10"
"2063","45"
"2064","42"
"2065","2"
"2066","12"
"2067","30"
"2068","25"
"2069","32"
"2070","45"
"2071","31"
"2072","2"
"2073","1"
"2074","10"
"2075","2"
"2076","41"
"2077","44"
"2078","26"
"2079","10"
"2080","31"
"2081","12"
"2082","2"
"2083","3"
"2084","12"
"2085","1"
"2086","30"
"2087","2"
"2088","1"
"2089","2"
"2090","14"
"2091","3"
"2092","29"
"2093","2"
"2094","12"
"2095","1"
"2096","12"
"2097","36"
"2098","36"
"2099","31"
"2100","2"
"2101","2"
"2102","28"
"2103","26"
"2104","1"
"2105","10"
"2106","28"
"2107","28"
"2108","1"
"2109","45"
"2110","1"
"2111","31"
"2112","12"
"2113","3"
"2114","12"
"2115","12"
"2116","6"
"2117","11"
"2118","35"
"2119","28"
"2120","41"
"2121","3"
"2122","31"
"2123","28"
"2124","27"
"2125","6"
"2126","3"
"2127","1"
"2128","44"
"2129","25"
"2130","1"
"2131","2"
"2132","1"
"2133","2"
"2134","10"
"2135","25"
"2136","26"
"2137","12"
"2138","1"
